dividend_amount,ex_date,record_date,pay_date,dividend_type,currency
0.085,1988-11-04,1988-11-10,1988-12-12,regular,USD
0.085,1988-08-04,1988-08-10,1988-09-12,regular,USD
0.075,1988-05-04,1988-05-02,0000-00-00,regular,USD
0.0125,1988-05-04,1988-05-10,1988-06-10,special,USD
0.075,1988-02-16,1988-02-22,1988-03-11,regular,USD
0.075,1987-11-04,1987-11-10,1987-12-11,regular,USD
0.0675,1987-08-04,1987-08-10,1987-09-12,regular,USD
0.0675,1987-05-05,1987-05-11,1987-06-12,regular,USD
0.0675,1987-02-10,1987-02-17,1987-03-12,regular,USD
0.06,1986-11-04,1986-11-10,1986-12-12,regular,USD
0.06,1986-08-05,1986-08-11,1986-09-12,regular,USD
0.06,1986-05-06,1986-05-12,1986-06-12,regular,USD
0.055,1986-02-11,1986-02-18,1986-03-12,regular,USD
